#Release 12.4 - par M.81d (lin64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Mon Apr 16 20:55:06 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       FUNCMEMORY_map.ncd
#OUTPUT FILE:      FUNCMEMORY_pad.csv
#PART TYPE:        xc3s100e
#SPEED GRADE:      -5
#PACKAGE:          cp132
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,PROG_B,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,
A3,,DIFFM,IO_L11P_0,UNUSED,,0,,,,,,,,,
A4,,,NC,,,,,,,,,,,,
A5,,,VCCAUX,,,,,,,,2.5,,,,
A6,,,VCCO_0,,,0,,,,,2.50,,,,
A7,result<6>,IOB,IO_L07P_0/GCLK10,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A8,,,GND,,,,,,,,,,,,
A9,result<5>,IOB,IO_L05N_0/GCLK7,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A10,result<2>,IOB,IO_L04P_0/GCLK4,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A11,,,VCCINT,,,,,,,,1.2,,,,
A12,,,NC,,,,,,,,,,,,
A13,result<0>,IOB,IO_L01P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A14,,,TDO,,,,,,,,,,,,
B1,,DIFFS,IO_L01N_3,UNUSED,,3,,,,,,,,,
B2,,DIFFM,IO_L01P_3,UNUSED,,3,,,,,,,,,
B3,,DIFFS,IO_L11N_0/HSWAP,UNUSED,,0,,,,,,,,,
B4,,IBUF,IP,UNUSED,,0,,,,,,,,,
B5,,DIFFM,IO_L09P_0,UNUSED,,0,,,,,,,,,
B6,result<8>,IOB,IO_L08P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B7,result<7>,IOB,IO_L07N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B8,,DIFFMI,IP_L06P_0/GCLK8,UNUSED,,0,,,,,,,,,
B9,result<4>,IOB,IO_L05P_0/GCLK6,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B10,,,VCCO_0,,,0,,,,,2.50,,,,
B11,,,NC,,,,,,,,,,,,
B12,,,NC,,,,,,,,,,,,
B13,,,TCK,,,,,,,,,,,,
B14,,,TMS,,,,,,,,,,,,
C1,,,NC,,,,,,,,,,,,
C2,,DIFFS,IO_L02N_3,UNUSED,,3,,,,,,,,,
C3,,DIFFM,IO_L02P_3,UNUSED,,3,,,,,,,,,
C4,,,NC,,,,,,,,,,,,
C5,,DIFFS,IO_L09N_0,UNUSED,,0,,,,,,,,,
C6,,DIFFS,IO_L08N_0/VREF_0,UNUSED,,0,,,,,,,,,
C7,,,GND,,,,,,,,,,,,
C8,,DIFFSI,IP_L06N_0/GCLK9,UNUSED,,0,,,,,,,,,
C9,result<3>,IOB,IO_L04N_0/GCLK5,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C10,,,GND,,,,,,,,,,,,
C11,,IBUF,IP,UNUSED,,0,,,,,,,,,
C12,result<1>,IOB,IO_L01N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C13,,DIFFS,IO_L10N_1/LDC2,UNUSED,,1,,,,,,,,,
C14,,DIFFM,IO_L10P_1/LDC1,UNUSED,,1,,,,,,,,,
D1,,,NC,,,,,,,,,,,,
D2,,IOB,IO,UNUSED,,3,,,,,,,,,
D3,,,VCCINT,,,,,,,,1.2,,,,
D12,,DIFFS,IO_L09N_1/LDC0,UNUSED,,1,,,,,,,,,
D13,,DIFFM,IO_L09P_1/HDC,UNUSED,,1,,,,,,,,,
D14,,,NC,,,,,,,,,,,,
E1,,,VCCO_3,,,3,,,,,any******,,,,
E2,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
E3,,,GND,,,,,,,,,,,,
E12,,,VCCAUX,,,,,,,,2.5,,,,
E13,,,VCCO_1,,,1,,,,,any******,,,,
E14,,,GND,,,,,,,,,,,,
F1,,DIFFM,IO_L05P_3/LHCLK2,UNUSED,,3,,,,,,,,,
F2,,DIFFS,IO_L04N_3/LHCLK1,UNUSED,,3,,,,,,,,,
F3,,DIFFM,IO_L04P_3/LHCLK0,UNUSED,,3,,,,,,,,,
F12,,IOB,IO/A0,UNUSED,,1,,,,,,,,,
F13,,DIFFS,IO_L08N_1/A1,UNUSED,,1,,,,,,,,,
F14,,DIFFM,IO_L08P_1/A2,UNUSED,,1,,,,,,,,,
G1,,DIFFS,IO_L05N_3/LHCLK3/IRDY2,UNUSED,,3,,,,,,,,,
G2,,,GND,,,,,,,,,,,,
G3,,DIFFM,IO_L06P_3/LHCLK4/TRDY2,UNUSED,,3,,,,,,,,,
G12,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
G13,,DIFFS,IO_L07N_1/A3/RHCLK7,UNUSED,,1,,,,,,,,,
G14,,DIFFM,IO_L07P_1/A4/RHCLK6,UNUSED,,1,,,,,,,,,
H1,,DIFFS,IO_L06N_3/LHCLK5,UNUSED,,3,,,,,,,,,
H2,,DIFFM,IO_L07P_3/LHCLK6,UNUSED,,3,,,,,,,,,
H3,,DIFFS,IO_L07N_3/LHCLK7,UNUSED,,3,,,,,,,,,
H12,,DIFFS,IO_L06N_1/A5/RHCLK5,UNUSED,,1,,,,,,,,,
H13,,DIFFM,IO_L06P_1/A6/RHCLK4/IRDY1,UNUSED,,1,,,,,,,,,
H14,,,GND,,,,,,,,,,,,
J1,,,GND,,,,,,,,,,,,
J2,,,VCCO_3,,,3,,,,,any******,,,,
J3,,IOB,IO,UNUSED,,3,,,,,,,,,
J12,,DIFFS,IO_L04N_1/A9/RHCLK1,UNUSED,,1,,,,,,,,,
J13,,DIFFM,IO_L05P_1/A8/RHCLK2,UNUSED,,1,,,,,,,,,
J14,,DIFFS,IO_L05N_1/A7/RHCLK3/TRDY1,UNUSED,,1,,,,,,,,,
K1,,,VCCAUX,,,,,,,,2.5,,,,
K2,,,NC,,,,,,,,,,,,
K3,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
K12,,,GND,,,,,,,,,,,,
K13,,IOB,IO/VREF_1,UNUSED,,1,,,,,,,,,
K14,,DIFFM,IO_L04P_1/A10/RHCLK0,UNUSED,,1,,,,,,,,,
L1,,DIFFM,IO_L08P_3,UNUSED,,3,,,,,,,,,
L2,,DIFFS,IO_L08N_3,UNUSED,,3,,,,,,,,,
L3,,DIFFM,IO_L09P_3,UNUSED,,3,,,,,,,,,
L12,,,VCCINT,,,,,,,,1.2,,,,
L13,,DIFFM,IO_L03P_1/A12,UNUSED,,1,,,,,,,,,
L14,,DIFFS,IO_L03N_1/A11,UNUSED,,1,,,,,,,,,
M1,,DIFFS,IO_L09N_3,UNUSED,,3,,,,,,,,,
M2,,DIFFM,IO_L01P_2/CSO_B,UNUSED,,2,,,,,,,,,
M3,,,GND,,,,,,,,,,,,
M4,,DIFFM,IO_L03P_2/D7/GCLK12,UNUSED,,2,,,,,,,,,
M5,,DIFFM,IO_L04P_2/D4/GCLK14,UNUSED,,2,,,,,,,,,
M6,,DIFFMI,IP_L05P_2/RDWR_B/GCLK0,UNUSED,,2,,,,,,,,,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCO_2,,,2,,,,,any******,,,,
M9,,,NC,,,,,,,,,,,,
M10,,,NC,,,,,,,,,,,,
M11,,DIFFS,IO_L10N_2/VS1/A18,UNUSED,,2,,,,,,,,,
M12,,DIFFM,IO_L02P_1/A14,UNUSED,,1,,,,,,,,,
M13,,DIFFS,IO_L02N_1/A13,UNUSED,,1,,,,,,,,,
M14,,,VCCO_1,,,1,,,,,any******,,,,
N1,,DIFFS,IO_L01N_2/INIT_B,UNUSED,,2,,,,,,,,,
N2,,DIFFS,IO_L02N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
N3,,DIFFSI,IP/VREF_2,UNUSED,,2,,,,,,,,,
N4,,DIFFS,IO_L03N_2/D6/GCLK13,UNUSED,,2,,,,,,,,,
